Symbol,Name,Market Cap,Last Sale,Net Change,Percentage Change
AAPL,Apple Inc. Common Stock,"3,678,455,015,510",$244.87,$0.40,0.16%
ABNB,"Airbnb, Inc. Class A Common Stock","99,612,645,850",$157.98,$2.62,-1.63%
ADBE,Adobe Inc. Common Stock,"198,927,747,000",$456.99,$7.12,-1.53%
ADI,"Analog Devices, Inc. Common Stock","119,935,097,738",$241.66,$21.44,9.74%
ADP,"Automatic Data Processing, Inc. Common Stock","127,440,101,105",$313.22,$3.27,1.06%
ADSK,"Autodesk, Inc. Common Stock","64,297,900,000",$299.06,$3.40,1.15%
AEP,"American Electric Power Company, Inc. Common Stock","54,937,456,339",$103.09,$0.89,0.87%
AMAT,"Applied Materials, Inc. Common Stock","141,197,110,477",$174.06,$2.06,1.20%
AMD,"Advanced Micro Devices, Inc. Common Stock","185,852,617,462",$114.69,$0.41,0.36%
AMGN,Amgen Inc. Common Stock,"158,083,298,577",$294.27,$1.47,0.50%
AMZN,"Amazon.com, Inc. Common Stock","2,401,763,403,044",$226.63,$0.02,-0.01%
ANSS,"ANSYS, Inc. Common Stock","29,447,897,510",$336.74,$1.84,-0.54%
APP,Applovin Corporation Class A Common Stock,"165,839,401,783",$494.17,$1.83,-0.37%
ARM,Arm Holdings plc American Depositary Shares,"160,585,415,517",$154.36,$5.96,-3.72%
ASML,ASML Holding N.V. New York Registry Shares,"293,020,497,801",$744.80,$0.58,0.08%
AVGO,Broadcom Inc. Common Stock,"1,072,138,973,562",$228.73,$0.20,0.09%
AXON,"Axon Enterprise, Inc. Common Stock","45,251,109,174",$593.42,$116.59,-16.42%
AZN,AstraZeneca PLC American Depositary Shares,"228,896,787,001",$73.81,$0.99,-1.32%
BIIB,Biogen Inc. Common Stock,"20,006,526,389",$136.68,$0.11,0.08%
BKNG,Booking Holdings Inc. Common Stock,"169,144,061,458","$5,110.60",$31.28,-0.61%
BKR,Baker Hughes Company Class A Common Stock,"46,426,344,834",$46.89,$0.09,-0.19%
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,"40,033,676,423",$86.85,$0.11,0.13%
CDNS,"Cadence Design Systems, Inc. Common Stock","75,159,032,520",$274.04,$26.39,-8.78%
CDW,CDW Corporation Common Stock,"25,919,860,059",$194.50,$2.04,1.06%
CEG,Constellation Energy Corporation Common Stock,"100,606,068,067",$321.665,$3.935,-1.21%
CHTR,"Charter Communications, Inc. Class A Common Stock New","51,324,989,075",$361.58,$0.16,-0.04%
CMCSA,Comcast Corporation Class A Common Stock,"137,931,704,484",$36.48,$0.13,0.36%
COST,Costco Wholesale Corporation Common Stock,"471,660,305,330","$1,062.54",$6.51,0.62%
CPRT,"Copart, Inc. (DE) Common Stock","57,561,186,735",$59.74,$0.15,0.25%
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock","110,874,618,998",$450.14,$5.22,-1.15%
CSCO,"Cisco Systems, Inc. Common Stock (DE)","258,242,045,578",$64.84,$0.25,0.39%
CSGP,"CoStar Group, Inc. Common Stock","32,472,893,342",$79.21,$3.75,4.97%
CSX,CSX Corporation Common Stock,"62,500,064,749",$32.41,$1.23,-3.66%
CTAS,Cintas Corporation Common Stock,"83,993,634,006",$208.14,$4.40,2.16%
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,"43,738,849,903",$88.43,$0.34,-0.38%
DASH,"DoorDash, Inc. Class A Common Stock","89,581,288,952",$213.24,$1.27,0.60%
DDOG,"Datadog, Inc. Class A Common Stock","43,773,315,637",$128.85,$1.78,-1.36%
DXCM,"DexCom, Inc. Common Stock","35,028,594,575",$89.68,$0.85,-0.94%
EA,Electronic Arts Inc. Common Stock,"33,708,279,608",$129.34,$0.99,0.77%
EXC,Exelon Corporation Common Stock,"42,872,511,746",$42.65,$0.05,-0.12%
FANG,"Diamondback Energy, Inc. Common Stock","46,794,188,230",$160.26,$3.50,2.23%
FAST,Fastenal Company Common Stock,"43,333,327,031",$75.57,$0.76,1.02%
FTNT,"Fortinet, Inc. Common Stock","87,812,485,610",$114.57,$0.31,0.27%
GEHC,GE HealthCare Technologies Inc. Common Stock,"42,309,239,641",$92.52,$0.15,-0.16%
GFS,GlobalFoundries Inc. Ordinary Shares,"25,346,971,620",$45.79,$0.22,-0.48%
GILD,"Gilead Sciences, Inc. Common Stock","134,160,519,506",$107.65,$2.40,2.28%
GOOG,Alphabet Inc. Class C Capital Stock,"2,281,114,700,000",$187.13,$1.33,0.72%
GOOGL,Alphabet Inc. Class A Common Stock,"2,258,441,300,000",$185.27,$1.50,0.82%
HON,Honeywell International Inc. Common Stock,"137,009,329,736",$210.81,$2.77,1.33%
IDXX,"IDEXX Laboratories, Inc. Common Stock","36,929,164,617",$450.99,$1.93,0.43%
INTC,Intel Corporation Common Stock,"111,367,600,000",$25.72,$1.67,-6.10%
INTU,Intuit Inc. Common Stock,"163,033,576,650",$582.19,$2.25,0.39%
ISRG,"Intuitive Surgical, Inc. Common Stock","217,018,629,455",$608.48,$7.59,1.26%
KDP,Keurig Dr Pepper Inc. Common Stock,"44,464,550,614",$32.78,$0.33,1.02%
KHC,The Kraft Heinz Company Common Stock,"35,598,750,700",$29.79,$0.47,1.60%
KLAC,KLA Corporation Common Stock,"102,954,006,464",$774.75,$16.50,2.18%
LIN,Linde plc Ordinary Shares,"220,018,282,239",$462.07,$3.76,-0.81%
LRCX,Lam Research Corporation Common Stock,"112,525,810,920",$87.66,$1.08,1.25%
LULU,lululemon athletica inc. Common Stock,"42,842,662,852",$367.22,$5.22,-1.40%
MAR,Marriott International Class A Common Stock,"79,278,939,893",$287.56,$0.86,-0.30%
MCHP,Microchip Technology Incorporated Common Stock,"34,199,908,239",$63.59,$5.73,9.90%
MDB,"MongoDB, Inc. Class A Common Stock","21,968,825,820",$295.00,$3.515,-1.18%
MDLZ,"Mondelez International, Inc. Class A Common Stock","80,108,013,592",$61.93,$0.75,1.23%
MELI,"MercadoLibre, Inc. Common Stock","105,237,104,051","$2,075.79",$22.96,-1.09%
META,"Meta Platforms, Inc. Class A Common Stock","1,783,113,380,929",$703.77,$12.60,-1.76%
MNST,Monster Beverage Corporation,"50,269,541,174",$51.69,$0.64,1.25%
MRVL,"Marvell Technology, Inc. Common Stock","96,082,912,000",$111.04,$3.75,3.50%
MSFT,Microsoft Corporation Common Stock,"3,083,392,811,611",$414.77,$5.13,1.25%
MSTR,MicroStrategy Incorporated Common Stock Class A,"81,669,668,114",$323.92,$5.25,1.65%
MU,"Micron Technology, Inc. Common Stock","116,274,982,824",$104.36,$2.43,-2.28%
NFLX,"Netflix, Inc. Common Stock","446,291,815,143","$1,043.33",$7.48,0.72%
NVDA,NVIDIA Corporation Common Stock,"3,409,742,700,000",$139.23,$0.17,-0.12%
NXPI,NXP Semiconductors N.V. Common Stock,"62,415,527,336",$245.58,$16.72,7.31%
ODFL,"Old Dominion Freight Line, Inc. Common Stock","43,790,479,609",$205.11,$4.18,-2.00%
ON,ON Semiconductor Corporation Common Stock,"23,397,300,971",$55.52,$3.57,6.87%
ORLY,"O'Reilly Automotive, Inc. Common Stock","74,807,431,989","$1,295.80",$0.02,UNCH
PANW,"Palo Alto Networks, Inc. Common Stock","135,856,299,000",$205.19,$3.09,-1.48%
PAYX,"Paychex, Inc. Common Stock","54,023,863,623",$150.04,$1.64,1.11%
PCAR,PACCAR Inc. Common Stock,"56,210,262,394",$107.21,$0.67,0.63%
PDD,PDD Holdings Inc. American Depositary Shares,"171,199,850,886",$124.43,$4.03,-3.14%
PEP,"PepsiCo, Inc. Common Stock","199,978,391,379",$145.81,$1.71,1.19%
PLTR,Palantir Technologies Inc. Class A Common Stock,"255,162,412,960",$112.06,$12.56,-10.08%
PYPL,"PayPal Holdings, Inc. Common Stock","77,517,038,539",$78.36,$0.26,-0.33%
QCOM,QUALCOMM Incorporated Common Stock,"193,793,320,000",$175.22,$1.58,0.91%
REGN,"Regeneron Pharmaceuticals, Inc. Common Stock","74,959,561,460",$685.66,$5.66,0.83%
ROP,"Roper Technologies, Inc. Common Stock","61,875,509,293",$577.04,$4.51,0.79%
ROST,"Ross Stores, Inc. Common Stock","46,101,006,697",$139.73,$0.64,0.46%
SBUX,Starbucks Corporation Common Stock,"127,777,391,000",$112.49,$0.54,-0.48%
SNPS,"Synopsys, Inc. Common Stock","77,440,711,380",$500.98,$24.02,-4.58%
TEAM,Atlassian Corporation Class A Common Stock,"49,807,728,296",$303.72,$11.72,-3.72%
TMUS,"T-Mobile US, Inc. Common Stock","300,678,533,109",$263.35,$0.14,0.05%
TSLA,"Tesla, Inc. Common Stock","1,159,747,382,861",$360.56,$6.45,1.82%
TTD,"The Trade Desk, Inc. Class A Common Stock","37,881,797,823",$76.75,$3.28,-4.10%
TTWO,"Take-Two Interactive Software, Inc. Common Stock","37,978,346,017",$215.18,$1.20,-0.55%
TXN,Texas Instruments Incorporated Common Stock,"178,716,568,867",$196.32,$9.86,5.29%
VRSK,"Verisk Analytics, Inc. Common Stock","41,778,578,175",$295.86,$2.56,0.87%
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,"121,143,188,599",$471.76,$9.65,2.09%
WBD,"Warner Bros. Discovery, Inc. Series A Common Stock","26,714,967,906",$10.89,$0.27,2.54%
WDAY,"Workday, Inc. Class A Common Stock","69,452,600,000",$261.10,$4.62,-1.74%
XEL,Xcel Energy Inc. Common Stock,"39,662,877,327",$69.07,$0.53,0.77%
ZS,"Zscaler, Inc. Common Stock","32,938,669,199",$214.67,$2.20,-1.01%